alpha,cL,cD,liftToDragRatio
0,0.00165614754098,0.0,inf
1,0.0905905737705,0.00159574468085,56.7700928962
2,0.188336226587,0.0031914893617,59.0120176641
3,0.288381909548,0.00478723404255,60.2397766611
4,0.407855769231,0.00591078066914,69.0020137881
5,0.526020920502,0.00553903345725,94.9661930302
6,0.631281690141,0.00516728624535,122.168902624
7,0.716932019704,0.00478473581213,149.837326
8,0.811755274262,0.00439334637965,184.7692406
9,0.904415036045,0.00400195694716,225.993194826
10,0.985241443108,0.004,246.310360777
11,1.05785127202,0.004,264.462818004
12,1.13330985915,0.004,283.327464789
13,1.18790205681,0.00472170871846,251.583087318
14,1.23224289912,0.00547114664002,225.225712304
15,1.2612987013,0.00622058456158,202.762085912
16,1.27832946636,0.00697002248314,183.403922936
17,1.29137931034,0.007,184.482758621
18,1.29977172312,0.007,185.681674732
19,1.30374773519,0.007,186.249676456
20,1.30305087108,0.00790829694323,164.770099104
21,1.30534485666,0.138729038855,9.40931233602
22,1.30845039683,0.30614021164,4.27402329741
23,1.31413308458,0.352078769692,3.73249737758
24,1.32781467662,0.378943255351,3.50399342875
25,1.34149626866,0.400346938776,3.35083433574
26,1.26191705727,0.428214285714,2.94692890771
27,1.16144833911,0.461391491023,2.51727299204
28,1.06097962095,0.494568696331,2.14526238482
29,0.960510902792,0.525789543058,1.82679727179
30,0.860042184634,0.556984622144,1.54410400295
31,0.844690292758,0.591483116114,1.42808859585
32,0.862588390501,0.627324348341,1.37502775523
33,0.896755395683,0.663165580569,1.35223452778
34,0.935874100719,0.699316176471,1.33827034496
35,0.974992805755,0.736080882353,1.3245729228
36,0.989432692308,0.773688253685,1.2788518988
37,1.00025,0.811651630192,1.23236369249
38,1.01106730769,0.847179182156,1.19345154955
39,1.02188461538,0.879892936803,1.16137381338
40,1.03270192308,0.91260669145,1.13159582628
41,1.03592713518,0.944399671053,1.09691602711
42,1.03811706152,0.97592379386,1.06372758616
43,1.04030698786,1.00744791667,1.03261614883
44,1.04249691419,1.03866509434,1.00368917746
45,1.04468684053,1.06775314465,0.978397343772
46,1.04078164993,1.09684119497,0.948890007692
47,1.03585942115,1.12592924528,0.920004010452
48,1.03093719236,1.15488922427,0.892671929651
49,1.02601496358,1.18356414126,0.866885813625
50,1.02109273479,1.21223905826,0.842319613311
51,1.00893382808,1.24091397525,0.813057027482
52,0.99470995671,1.26553794316,0.785997734866
53,0.980486085343,1.29014972165,0.759978527211
54,0.966262213976,1.31476150015,0.734933456653
55,0.95203834261,1.33967393845,0.710649297031
56,0.935827844009,1.36480054538,0.685688357302
57,0.919460901192,1.38992715232,0.661517331796
58,0.903093958375,1.41505375925,0.638204698917
59,0.886727015559,1.44018036619,0.615705529931
60,0.870360072742,1.46417676111,0.594436475061
61,0.847898305085,1.48679178581,0.570287186934
62,0.825299435028,1.5094068105,0.546770711041
63,0.802700564972,1.5320218352,0.523948514656
64,0.780101694915,1.55283671648,0.50237200514
65,0.757430659818,1.57246642873,0.481683199068
66,0.731551560648,1.59209614098,0.459489563362
67,0.705672461478,1.61172585322,0.437836534089
68,0.679793362307,1.63085907046,0.41683145688
69,0.653914263137,1.64635132434,0.397189988231
70,0.628035163967,1.66184357821,0.377914728077
71,0.601370284388,1.67733583208,0.358527059927
72,0.574672663958,1.69243481198,0.339553795449
73,0.547975043529,1.70459423553,0.321469492332
74,0.521277423099,1.71675365909,0.303641364234
75,0.49457980267,1.72891308264,0.28606400613
76,0.467800670017,1.74107250619,0.268685346735
77,0.441,1.75081183295,0.251883150263
78,0.414199329983,1.75939651972,0.235421251174
79,0.387398659966,1.7679812065,0.219119218317
80,0.360598346131,1.77656589327,0.202974934674
81,0.33382142154,1.78361185836,0.187160351046
82,0.307044496948,1.78800384299,0.171724741058
83,0.280267572357,1.79239582761,0.15636477615
84,0.253490647765,1.79678781224,0.14107990161
85,0.226713723174,1.798,0.126092170842
86,0.197408597748,1.798,0.1097934359
87,0.167930603889,1.798,0.093398556112
88,0.138452610031,1.798,0.0770036763241
89,0.108974616172,1.798,0.0606087965361
90,0.081,1.798,0.0450500556174
